level,word,consonants,matras,hint
1,कमरा,क|म|र,||ा,जहाँ चार दीवारें आपकी दुनिया बनाती हैं
2,किताब,क|त|ब,ि|ा|,खामोश रहकर भी बहुत कुछ कहती है
3,मकान,म|क|न,|ा|,ईंटों का ढाँचा यादों का घर
4,बादल,ब|द|ल,ा||,आसमान का सफेद मेहमान
5,रुमाल,र|म|ल,ु|ा|,जेब में रहने वाला छोटा सहारा
6,गाजर,ग|ज|र,ा||,मिट्टी के नीचे छुपी मिठास
7,सागर,स|ग|र,ा||,जहाँ लहरें कभी थकती नहीं
8,कहानी,क|ह|न,|ा|ी,शब्दों में बुना हुआ सफ़र
9,मछली,म|छ|ल,||ी,पानी की चुपचाप तैराक
10,बारिश,ब|र|श,ा|ि|,आसमान की ठंडी दस्तक
11,सपना,स|प|न,||ा,नींद का अपना संसार
12,तकिया,त|क|य,|ि|ा,सिर को हर रात मिलने वाला आराम
13,सवाल,स|व|ल,|ा|,जो दिमाग को रुकने नहीं देता
14,जवाब,ज|व|ब,|ा|,जो उलझन को सुलझा दे
15,बगीचा,ब|ग|च,|ी|ा,जहाँ रंग और खुशबू साथ रहते हैं
16,मसाला,म|स|ल,|ा|ा,थोड़ा सा डाला स्वाद बदल डाला
17,पपीता,प|प|त,|ी|ा,बीजों से भरा मीठा उपहार
18,मटका,म|ट|क,||ा,मिट्टी का ठंडा भरोसा
19,डमरू,ड|म|र,||ू,छोटा सा पर आवाज़ बड़ी
20,ठिकाना,ठ|क|न,ि|ा|ा,जहाँ कदम आखिर रुकते हैं
21,जानवर,ज|न|व|र,ा|||,जो बोलता कम समझता ज़्यादा
22,तलवार,त|ल|व|र,||ा|,चमकती हुई धार
23,सरकार,स|र|क|र,||ा|,जिसके फैसले सबको छूते हैं
24,हथियार,ह|थ|य|र,|ि|ा|,सुरक्षा और खतरे के बीच की रेखा
25,दरवाजा,द|र|व|ज,||ा|ा,अंदर और बाहर का फ़र्क
26,परिवार,प|र|व|र,|ि|ा|,रिश्तों का पहला घेरा
27,गुलदस्ता,ग|ल|द|स|त,ु|||्|ा,खुशबू का सजा हुआ संगम
28,दस्तावेज,द|स|त|व|ज,|्|ा|े|,कागज़ पर दर्ज सच्चाई
29,चरवाहा,च|र|व|ह,||ा|ा,झुंड के साथ चलने वाला रक्षक
30,कारोबार,क|र|ब|र,ा|ो|ा|,मेहनत से चलती दुनिया
